,adolescent,adult,child,college student,little,middle aged person,old person,teenager,young person
adolescent,0.0,0.0780952380952381,-0.2342857142857143,0.5428571428571428,-0.020952380952380972,0.19238095238095237,-0.21904761904761905,-0.2342857142857143,-0.10476190476190478
adult,0.3171428571428571,0.0,0.38571428571428573,0.27142857142857135,-0.22380952380952382,0.035238095238095235,-0.36857142857142855,-0.10952380952380952,-0.3076190476190476
child,0.5685714285714285,-0.239047619047619,0.0,0.5838095238095238,-0.3,-0.02571428571428569,-0.4676190476190476,0.2561904761904762,-0.3761904761904762
college student,0.08095238095238097,0.16476190476190475,-0.20857142857142857,0.0,-0.0028571428571428636,0.2866666666666667,-0.13238095238095238,-0.18571428571428572,-0.0028571428571428636
little,0.16000000000000003,0.1752380952380952,0.19047619047619047,0.18285714285714283,0.0,-0.007619047619047525,-0.5180952380952382,0.14476190476190476,-0.3276190476190476
middle aged person,0.15523809523809523,0.1247619047619048,0.1247619047619048,0.10190476190476194,-0.08857142857142858,0.0,-0.3780952380952381,0.11714285714285716,-0.15714285714285714
old person,0.07333333333333336,0.03523809523809529,0.07333333333333336,0.027619047619047543,-0.07142857142857151,-0.0028571428571428914,0.0,0.05047619047619045,-0.18571428571428572
teenager,0.5514285714285714,0.239047619047619,-0.18761904761904757,0.5438095238095239,-0.27142857142857146,-0.035238095238095235,-0.46190476190476193,0.0,-0.3780952380952381
young person,0.1333333333333333,0.14857142857142858,0.1561904761904762,0.07238095238095243,-0.0876190476190476,-0.049523809523809526,-0.5142857142857142,0.14095238095238105,0.0
