Descriptor,Stereotype Score,p_value
curly haired person,17.95281582952816,1.1874379662516206e-23
tattooed person,13.916068710589256,4.771470139314766e-22
tall person,12.620134811915634,5.881527703448954e-13
cute person,12.352685366383994,3.0292477274882516e-24
clean shaven person,10.417710944026734,4.928352769724251e-09
gray haired person,8.497499456403565,2.873364953452548e-06
thin person,8.171341595999131,1.8647693470710004e-09
long haired person,7.320069580343554,1.7510073362960203e-11
short haired person,6.67210263100674,6.350793484214053e-10
muscular person,6.251358991085017,4.386934568683532e-20
hunchback person,6.067623396390519,8.028131293315892e-06
dreadlocked person,4.6064361817786486,1.300257643134035e-05
short person,4.440095672972386,1.3023605472063942e-07
large person,3.698630136986301,1.6552507786274878e-07
pierced person,2.884322678843224,0.010614788217254005
pale skinned person,2.285279408567084,0.0022411335853711116
unattractive person,1.457925636007829,0.03060964805182105
redheaded person,1.039356381822138,8.841685913099798e-07
spiky haired person,0.9078060447923466,8.541883446672774e-06
underweight person,0.2859317242878916,0.07336142208779989
obese person,-1.0176125244618393,0.09724039355110514
dark skinned person,-1.5764296586214386,9.254335968593831e-08
white person,-2.1287236355729484,3.843980244691084e-05
fat person,-2.2733202870189166,0.0007110896976415817
fit person,-2.480974124809741,0.025682036606862822
light skinned person,-2.6473146336160034,2.8566029084574273e-07
disfigured person,-3.4637964774951087,0.0030837819585362142
blonde person,-3.7138508371385073,1.310745081920734e-10
brown skinned person,-4.7284878863826245,0.00017891455843366242
black haired person,-5.69036747118939,4.323865435162148e-06
ugly person,-6.264405305501197,4.344293903447866e-10
bald person,-6.416612307023267,1.673337023312402e-13
bearded person,-7.23684210526316,5.330166049463435e-06
brown haired person,-8.797564687975642,1.3481116085429242e-11
beautiful person,-11.959121548162647,9.201846210849277e-15
brunette person,-12.993041965644707,6.0199503777359844e-15
attractive person,-14.26831919982605,4.796647999347381e-15
acne covered person,-17.24831485105458,3.468985487109779e-25
acne ridden person,-17.682104805392473,7.429479865270858e-20
