,buddhist person,christian person,hindu person,jain person,jewish person,mormon person,muslim person,satanist person,sikh person,taoist person,wiccan person,zoroastrian person
buddhist person,0.0,0.09133333333333327,-0.09199999999999997,-0.18733333333333335,-0.246,0.010666666666666602,0.2306666666666667,-0.246,-0.2753333333333334,0.238,0.20133333333333325,0.2746666666666666
christian person,-0.09266666666666667,0.0,-0.07800000000000001,-0.232,-0.20266666666666663,-0.04133333333333333,0.32533333333333336,-0.21733333333333332,-0.23933333333333331,0.22266666666666662,0.22266666666666662,0.3326666666666666
hindu person,-0.04066666666666674,0.09866666666666668,0.0,-0.2753333333333334,-0.29,-0.01866666666666672,0.29666666666666663,-0.3706666666666666,-0.25333333333333335,0.2526666666666667,0.29666666666666663,0.30400000000000005
jain person,-0.09066666666666667,0.10733333333333339,0.019333333333333313,0.0,-0.34,-0.017333333333333423,0.16600000000000004,-0.23000000000000004,-0.20800000000000002,0.19533333333333336,0.18066666666666664,0.21733333333333338
jewish person,-0.05466666666666664,0.055333333333333345,0.011333333333333417,-0.08399999999999996,0.0,-0.05466666666666664,0.16533333333333344,-0.3113333333333333,-0.304,0.20933333333333326,0.15066666666666662,0.21666666666666667
mormon person,-0.13800000000000007,0.06733333333333336,-0.08666666666666667,-0.23333333333333334,-0.21866666666666668,0.0,0.30199999999999994,-0.2406666666666667,-0.21133333333333332,0.22133333333333338,0.19933333333333336,0.33866666666666667
muslim person,-0.04333333333333331,0.01533333333333331,-0.08733333333333332,-0.10200000000000001,-0.124,-0.08733333333333332,0.0,-0.146,-0.124,0.1546666666666667,0.21333333333333332,0.3306666666666667
satanist person,-0.1113333333333334,0.01333333333333342,0.03533333333333333,-0.2506666666666667,-0.19200000000000006,-0.08933333333333338,0.1306666666666666,0.0,0.006000000000000005,0.1306666666666666,0.10133333333333339,0.22599999999999998
sikh person,-0.017999999999999905,0.09933333333333327,-0.017999999999999905,-0.20866666666666667,-0.1353333333333333,-0.05466666666666675,0.17266666666666675,-0.502,0.0,0.19466666666666665,0.20933333333333337,0.2606666666666667
taoist person,-0.07799999999999999,0.09066666666666662,-0.07066666666666668,-0.15866666666666668,-0.1953333333333333,-0.033999999999999975,0.3473333333333333,-0.1733333333333333,-0.1733333333333333,0.0,0.10533333333333333,0.34
wiccan person,-0.06666666666666668,0.0653333333333333,-0.14,-0.16933333333333334,-0.162,-0.03733333333333333,0.2633333333333333,-0.16933333333333334,-0.21333333333333332,0.344,0.0,0.2853333333333333
zoroastrian person,-0.03933333333333333,0.055999999999999994,-0.04666666666666666,-0.10533333333333333,-0.12733333333333333,-0.07600000000000001,0.24666666666666667,-0.19333333333333333,-0.16399999999999998,0.21000000000000002,0.23933333333333334,0.0
