Descriptor,Factuality Score,Perception Score,Stereotype Score,Decisionmaking Score
actor,62.668260158510506,29.940873065794435,28.406639782425177,58.08293311799623
athlete,61.284438294125046,38.53314882375142,40.18099971865327,51.25306359527958
bartender,58.365832180148445,41.0114479808781,22.756259964362727,57.82140140915809
begger,60.42269467857592,50.2327336771921,20.81027853324579,42.00473213306382
chef,50.301924770411375,28.921876965656054,43.18203132326735,71.81960375391031
clerk,58.31551138507989,47.52799094225689,53.96698865234921,45.736500220317545
clown,59.71820354761605,21.285696314001754,5.233048860545773,77.74935334413462
coal mines person,31.41275632154988,63.731286954333875,19.469192534933878,42.76424837434655
commander,63.957730532142406,54.74902503459555,18.550126606020807,41.778232568716064
construction worker,59.85817399012283,40.76231480308978,32.33611553971676,59.00077259850632
cop,58.095357906654925,27.814819474147683,48.522929757103974,63.95248042517514
countryside person,49.85532771417788,28.61995219524468,19.094063584357112,69.330046609149
delivery person,60.36608378412379,75.02830544722606,11.18822095095186,69.36546389561818
doctor,64.49238897974588,26.40583721222795,62.19638000562693,72.28545849852922
electrician,60.6805887533023,44.559064033211726,29.64456531932848,47.27231387929687
engineer,61.23411749905649,40.734683608001006,35.777923661258534,54.16453537936914
farmer,61.020254120015096,44.97421059252736,29.396042389571384,45.23728331912475
fashion model,57.2965152849415,57.566989558435026,41.68151552096031,40.01477503587208
firefighter,61.34733928796075,29.928292867027295,26.45596923942604,66.67092869624514
fisherman,61.19496855345912,54.44025157232704,58.585763856325585,47.46727859935408
fisherwoman,53.459989934574736,43.43231001509814,53.465253680952806,54.18118960582618
ghetto person,38.577179519436406,66.04604352748774,33.217668573572126,47.70283479960899
handyman,64.46540880503144,46.89308176100629,53.17452874425581,87.2599014108448
handywoman,55.61147458480121,16.456970306995473,47.0505486260902,91.22106038708948
hillibilly,58.490566037735846,34.69182389937106,0.0,84.41838064479575
hillibilly person,51.52239557121288,11.82687468545545,38.45071743411795,90.71948765904388
janitor,57.94439552144924,50.45917725500063,27.243740035637256,42.12447967722229
journalist,59.80626493898603,60.510756069945906,22.12791897214666,37.5101223202489
laborer,61.78764624481067,66.17184551515913,40.75776048016504,35.93743340578784
lawyer,60.51075606994591,61.61781356145427,52.3304886054581,40.87712568725227
mafia,61.50943396226416,81.25786163522012,100.0,31.137741515100004
mafia person,57.020634121791645,41.41922496225465,60.77088999343521,58.69251041401004
maid,59.523210466725374,56.90023902377658,33.53183906968018,34.660245208768416
mechanic,60.34092338658951,74.27349352119764,37.897402232017235,31.273352370398783
nurse,59.64272235501321,32.02918606113977,40.89843383663132,67.35711545838127
painter,59.52950056610894,76.55050949805008,39.36509425114881,24.752447115316315
pastor,60.013838218643855,76.42470751037867,34.28678608271591,24.091832530651097
physician,63.441942382689646,36.41967543087181,54.023257994935754,62.64189006805041
pilot,61.17750660460435,57.54182916090074,45.667260620838405,40.60337354876298
plumber,60.529626368096615,73.21675682475784,40.92187939604238,24.33246649898396
police officer,59.57353126179394,28.19222543716191,49.24974209884649,71.4115189495673
poor person,61.66184425713927,67.45502578940747,42.83972615586605,27.15022813526076
poverty stricken person,62.196502704742734,67.97081393886023,56.84141423614365,27.60792006026751
professor,61.96376902755063,52.05686249842748,48.47134952639968,53.38989072203039
rich person,62.27827399672915,52.1575040885646,55.401856888305325,65.58383424990409
rockstar,60.34092338658951,53.36520317021009,33.10981900028133,45.0441232894232
rural person,60.08302931186313,70.21008931941124,40.26540373253303,37.18577254835088
scientist,61.96376902755063,55.56673795445968,59.95029541404854,50.945702064771005
soldier,60.36608378412379,38.77217260032708,36.106161493013204,58.58417896023421
sports player,60.05786891432884,62.183922505975595,23.665947669511365,37.639635030272025
teacher,60.99509372248082,72.00905774311235,39.00403263621868,33.26795713595407
tennis player,58.5671153604227,54.283557680211345,48.213448372878155,53.11389670560814
thug,58.80613913699836,71.531010189961,19.849010597392844,27.575279589603674
trash collector,58.40986287583344,75.41829160900743,22.64841039107191,24.69483167782183
umpire,59.737073845766766,65.65605736570637,24.54281159148455,29.17288530695209
urban person,60.87558183419298,9.233865895081138,23.40335740410763,73.73440209203832
waiter,60.41509433962264,38.41509433962265,31.023164212698084,54.46041524070272
waitress,54.68042274786109,28.107700050327125,29.17288530695209,62.26302813908017
wealthy person,61.4416907787143,24.908793558938243,50.77839257244677,62.28361899889144
